Timestep,Bus,Voltage (p.u.)
2012-07-07 07:30:00,vsource,1.035
2012-07-07 07:30:00,bus_001,1.0345
2012-07-07 07:30:00,bus_002,1.034
2012-07-07 07:30:00,bus_003,1.0345
2012-07-07 07:30:00,bus_004,1.0345
2012-07-07 07:30:00,bus_005,1.0334
2012-07-07 07:30:00,bus_006,1.0333
2012-07-07 07:30:00,bus_007,1.0335
2012-07-07 07:30:00,bus_008,1.0333
2012-07-07 07:30:00,bus_009,1.0337
2012-07-07 07:30:00,bus_010,1.0336
2012-07-07 07:30:00,bus_011,1.0332
2012-07-07 07:30:00,bus_012,1.0329
2012-07-07 07:30:00,bus_013,1.0331
2012-07-07 07:30:00,bus_014,1.0326
2012-07-07 07:30:00,busload_001,1.0325
2012-07-07 07:30:00,busload_002,1.0328
2012-07-07 07:30:00,busload_003,1.0335
2012-07-07 07:30:00,busload_004,1.0332
2012-07-07 07:30:00,busload_005,1.0329
2012-07-07 07:30:00,busload_006,1.0334
2012-07-07 07:30:00,busload_007,1.0334
2012-07-07 07:30:00,busload_008,1.0335
2012-07-07 07:30:00,busload_009,1.0335
2012-07-07 07:30:00,busload_010,1.0336
2012-07-07 07:30:00,busload_011,1.0333
2012-07-07 07:30:00,busload_012,1.0333
2012-07-07 07:30:00,busload_013,1.0333
2012-07-07 07:30:00,busload_014,1.0331
2012-07-07 07:30:00,busload_015,1.0331
2012-07-07 07:30:00,busload_016,1.033
2012-07-07 07:30:00,busload_017,1.0336
2012-07-07 07:30:00,busload_018,1.0345
2012-07-07 07:30:00,busload_019,1.0345
2012-07-07 07:30:00,busload_020,1.0345
2012-07-07 07:30:00,busload_021,1.0344
2012-07-07 07:30:00,busload_022,1.0333
2012-07-07 07:30:00,busload_023,1.0325
2012-07-07 07:30:00,busload_024,1.0329
2012-07-07 07:30:00,busload_025,1.0344
2012-07-07 07:30:00,busload_026,1.0335
2012-07-07 07:30:00,busload_027,1.0344
2012-07-07 07:30:00,busload_028,1.0345
2012-07-07 07:30:00,busload_029,1.0325
2012-07-07 07:30:00,busload_030,1.0344
2012-07-07 07:30:00,busload_031,1.0335
2012-07-07 08:00:00,vsource,1.035
2012-07-07 08:00:00,bus_001,1.0346
2012-07-07 08:00:00,bus_002,1.0344
2012-07-07 08:00:00,bus_003,1.0348
2012-07-07 08:00:00,bus_004,1.0348
2012-07-07 08:00:00,bus_005,1.0337
2012-07-07 08:00:00,bus_006,1.0336
2012-07-07 08:00:00,bus_007,1.0344
2012-07-07 08:00:00,bus_008,1.0344
2012-07-07 08:00:00,bus_009,1.0342
2012-07-07 08:00:00,bus_010,1.0342
2012-07-07 08:00:00,bus_011,1.0343
2012-07-07 08:00:00,bus_012,1.0341
2012-07-07 08:00:00,bus_013,1.0331
2012-07-07 08:00:00,bus_014,1.0337
2012-07-07 08:00:00,busload_001,1.0336
2012-07-07 08:00:00,busload_002,1.034
2012-07-07 08:00:00,busload_003,1.0342
2012-07-07 08:00:00,busload_004,1.0343
2012-07-07 08:00:00,busload_005,1.034
2012-07-07 08:00:00,busload_006,1.0344
2012-07-07 08:00:00,busload_007,1.0344
2012-07-07 08:00:00,busload_008,1.0342
2012-07-07 08:00:00,busload_009,1.0342
2012-07-07 08:00:00,busload_010,1.0342
2012-07-07 08:00:00,busload_011,1.0336
2012-07-07 08:00:00,busload_012,1.0335
2012-07-07 08:00:00,busload_013,1.0335
2012-07-07 08:00:00,busload_014,1.033
2012-07-07 08:00:00,busload_015,1.033
2012-07-07 08:00:00,busload_016,1.0331
2012-07-07 08:00:00,busload_017,1.0342
2012-07-07 08:00:00,busload_018,1.0348
2012-07-07 08:00:00,busload_019,1.0348
2012-07-07 08:00:00,busload_020,1.0347
2012-07-07 08:00:00,busload_021,1.0346
2012-07-07 08:00:00,busload_022,1.0335
2012-07-07 08:00:00,busload_023,1.0337
2012-07-07 08:00:00,busload_024,1.034
2012-07-07 08:00:00,busload_025,1.0346
2012-07-07 08:00:00,busload_026,1.0342
2012-07-07 08:00:00,busload_027,1.0347
2012-07-07 08:00:00,busload_028,1.0347
2012-07-07 08:00:00,busload_029,1.0337
2012-07-07 08:00:00,busload_030,1.0347
2012-07-07 08:00:00,busload_031,1.0342
2012-07-07 08:30:00,vsource,1.035
2012-07-07 08:30:00,bus_001,1.0346
2012-07-07 08:30:00,bus_002,1.0346
2012-07-07 08:30:00,bus_003,1.0349
2012-07-07 08:30:00,bus_004,1.0348
2012-07-07 08:30:00,bus_005,1.034
2012-07-07 08:30:00,bus_006,1.0338
2012-07-07 08:30:00,bus_007,1.0352
2012-07-07 08:30:00,bus_008,1.0352
2012-07-07 08:30:00,bus_009,1.0346
2012-07-07 08:30:00,bus_010,1.0348
2012-07-07 08:30:00,bus_011,1.0353
2012-07-07 08:30:00,bus_012,1.035
2012-07-07 08:30:00,bus_013,1.0332
2012-07-07 08:30:00,bus_014,1.0347
2012-07-07 08:30:00,busload_001,1.0345
2012-07-07 08:30:00,busload_002,1.035
2012-07-07 08:30:00,busload_003,1.0348
2012-07-07 08:30:00,busload_004,1.0352
2012-07-07 08:30:00,busload_005,1.035
2012-07-07 08:30:00,busload_006,1.0352
2012-07-07 08:30:00,busload_007,1.0352
2012-07-07 08:30:00,busload_008,1.0348
2012-07-07 08:30:00,busload_009,1.0348
2012-07-07 08:30:00,busload_010,1.0346
2012-07-07 08:30:00,busload_011,1.0338
2012-07-07 08:30:00,busload_012,1.0337
2012-07-07 08:30:00,busload_013,1.0337
2012-07-07 08:30:00,busload_014,1.033
2012-07-07 08:30:00,busload_015,1.0331
2012-07-07 08:30:00,busload_016,1.0331
2012-07-07 08:30:00,busload_017,1.0346
2012-07-07 08:30:00,busload_018,1.0349
2012-07-07 08:30:00,busload_019,1.0349
2012-07-07 08:30:00,busload_020,1.0348
2012-07-07 08:30:00,busload_021,1.0346
2012-07-07 08:30:00,busload_022,1.0337
2012-07-07 08:30:00,busload_023,1.0347
2012-07-07 08:30:00,busload_024,1.035
2012-07-07 08:30:00,busload_025,1.0344
2012-07-07 08:30:00,busload_026,1.0348
2012-07-07 08:30:00,busload_027,1.0348
2012-07-07 08:30:00,busload_028,1.0348
2012-07-07 08:30:00,busload_029,1.0346
2012-07-07 08:30:00,busload_030,1.0348
2012-07-07 08:30:00,busload_031,1.0348
2012-07-07 09:00:00,vsource,1.035
2012-07-07 09:00:00,bus_001,1.0348
2012-07-07 09:00:00,bus_002,1.0351
2012-07-07 09:00:00,bus_003,1.0352
2012-07-07 09:00:00,bus_004,1.0352
2012-07-07 09:00:00,bus_005,1.0348
2012-07-07 09:00:00,bus_006,1.0347
2012-07-07 09:00:00,bus_007,1.0362
2012-07-07 09:00:00,bus_008,1.0363
2012-07-07 09:00:00,bus_009,1.0353
2012-07-07 09:00:00,bus_010,1.0356
2012-07-07 09:00:00,bus_011,1.0365
2012-07-07 09:00:00,bus_012,1.0362
2012-07-07 09:00:00,bus_013,1.0344
2012-07-07 09:00:00,bus_014,1.0358
2012-07-07 09:00:00,busload_001,1.0357
2012-07-07 09:00:00,busload_002,1.0362
2012-07-07 09:00:00,busload_003,1.0356
2012-07-07 09:00:00,busload_004,1.0364
2012-07-07 09:00:00,busload_005,1.0362
2012-07-07 09:00:00,busload_006,1.0362
2012-07-07 09:00:00,busload_007,1.0362
2012-07-07 09:00:00,busload_008,1.0355
2012-07-07 09:00:00,busload_009,1.0356
2012-07-07 09:00:00,busload_010,1.0353
2012-07-07 09:00:00,busload_011,1.0347
2012-07-07 09:00:00,busload_012,1.0347
2012-07-07 09:00:00,busload_013,1.0347
2012-07-07 09:00:00,busload_014,1.0343
2012-07-07 09:00:00,busload_015,1.0344
2012-07-07 09:00:00,busload_016,1.0343
